table_name,column_name,datatype,unit,description
des_dr2.mag,magerr_aper_9_z,adql:REAL,mag,"aperture 9 equivalent to 25.93 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_auto_g,adql:REAL,mag,"g-band uncertainty in magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.mag,magerr_auto_i,adql:REAL,mag,"i-band uncertainty in magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.mag,magerr_auto_r,adql:REAL,mag,"r-band uncertainty in magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.mag,magerr_auto_y,adql:REAL,mag,"y-band uncertainty in magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.mag,magerr_auto_z,adql:REAL,mag,"z-band uncertainty in magnitude estimation, for an elliptical model based on the kron radius [mag]"
des_dr2.mag,magerr_petro_g,adql:REAL,mag,g-band uncertainty in magnitude for a petrosian radius [mag]
des_dr2.mag,magerr_petro_i,adql:REAL,mag,i-band uncertainty in magnitude for a petrosian radius [mag]
des_dr2.mag,magerr_petro_r,adql:REAL,mag,r-band uncertainty in magnitude for a petrosian radius [mag]
des_dr2.mag,magerr_petro_y,adql:REAL,mag,y-band uncertainty in magnitude for a petrosian radius [mag]
des_dr2.mag,magerr_petro_z,adql:REAL,mag,z-band uncertainty in magnitude for a petrosian radius [mag]
des_dr2.mag,mag_aper_10_g,adql:REAL,mag,"aperture 10 equivalent to 29.63 [pixel], g-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_10_i,adql:REAL,mag,"aperture 10 equivalent to 29.63 [pixel], i-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_10_r,adql:REAL,mag,"aperture 10 equivalent to 29.63 [pixel], r-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_10_y,adql:REAL,mag,"aperture 10 equivalent to 29.63 [pixel], y-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_10_z,adql:REAL,mag,"aperture 10 equivalent to 29.63 [pixel], z-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_11_g,adql:REAL,mag,"aperture 11 equivalent to 44.44 [pixel], g-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_11_i,adql:REAL,mag,"aperture 11 equivalent to 44.44 [pixel], i-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_11_r,adql:REAL,mag,"aperture 11 equivalent to 44.44 [pixel], r-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_11_y,adql:REAL,mag,"aperture 11 equivalent to 44.44 [pixel], y-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_11_z,adql:REAL,mag,"aperture 11 equivalent to 44.44 [pixel], z-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_12_g,adql:REAL,mag,"aperture 12 equivalent to 66.67 [pixel], g-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_12_i,adql:REAL,mag,"aperture 12 equivalent to 66.67 [pixel], i-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_12_r,adql:REAL,mag,"aperture 12 equivalent to 66.67 [pixel], r-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_12_y,adql:REAL,mag,"aperture 12 equivalent to 66.67 [pixel], y-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_12_z,adql:REAL,mag,"aperture 12 equivalent to 66.67 [pixel], z-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_1_g,adql:REAL,mag,"aperture 1 equivalent to 1.85 [pixel], g-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_1_i,adql:REAL,mag,"aperture 1 equivalent to 1.85 [pixel], i-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_1_r,adql:REAL,mag,"aperture 1 equivalent to 1.85 [pixel], r-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_1_y,adql:REAL,mag,"aperture 1 equivalent to 1.85 [pixel], y-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_1_z,adql:REAL,mag,"aperture 1 equivalent to 1.85 [pixel], z-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_2_g,adql:REAL,mag,"aperture 2 equivalent to 3.7 [pixel], g-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_2_i,adql:REAL,mag,"aperture 2 equivalent to 3.7 [pixel], i-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_2_r,adql:REAL,mag,"aperture 2 equivalent to 3.7 [pixel], r-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_2_y,adql:REAL,mag,"aperture 2 equivalent to 3.7 [pixel], y-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_2_z,adql:REAL,mag,"aperture 2 equivalent to 3.7 [pixel], z-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_3_g,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], g-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_3_i,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], i-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_3_r,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], r-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_3_y,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], y-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_3_z,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], z-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_4_g,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], g-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_4_i,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], i-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_4_r,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], r-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_4_y,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], y-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_4_z,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], z-band magnitude estimation for circular apertures [mag]"
des_dr2.mag,mag_aper_5_g,adql:REAL,mag,"aperture 5 equivalent to 11.11 [pixel], g-band magnitude estimation for circular apertures [mag]"
