table_name,column_name,datatype,unit,description
des_dr2.main,flags_y,adql:SMALLINT,,y-band additive flag describing cautionary advice about source extraction process. use less than 4 for well behaved objects
des_dr2.main,flags_z,adql:SMALLINT,,z-band additive flag describing cautionary advice about source extraction process. use less than 4 for well behaved objects
des_dr2.main,fluxerr_auto_g,adql:REAL,adu,"g-band uncertainty in aperture-flux measurement, elliptical model based on the kron radius [adu]"
des_dr2.main,fluxerr_auto_i,adql:REAL,adu,"i-band uncertainty in aperture-flux measurement, elliptical model based on the kron radius [adu]"
des_dr2.main,fluxerr_auto_r,adql:REAL,adu,"r-band uncertainty in aperture-flux measurement, elliptical model based on the kron radius [adu]"
des_dr2.main,fluxerr_auto_y,adql:REAL,adu,"y-band uncertainty in aperture-flux measurement, elliptical model based on the kron radius [adu]"
des_dr2.main,fluxerr_auto_z,adql:REAL,adu,"z-band uncertainty in aperture-flux measurement, elliptical model based on the kron radius [adu]"
des_dr2.main,flux_auto_g,adql:REAL,adu,"g-band aperture-flux measurement, elliptical model based on the kron radius [adu]"
des_dr2.main,flux_auto_i,adql:REAL,adu,"i-band aperture-flux measurement, elliptical model based on the kron radius [adu]"
des_dr2.main,flux_auto_r,adql:REAL,adu,"r-band aperture-flux measurement, elliptical model based on the kron radius [adu]"
des_dr2.main,flux_auto_y,adql:REAL,adu,"y-band aperture-flux measurement, elliptical model based on the kron radius [adu]"
des_dr2.main,flux_auto_z,adql:REAL,adu,"z-band aperture-flux measurement, elliptical model based on the kron radius [adu]"
des_dr2.main,flux_radius_g,adql:REAL,pixel,"g-band half-light radius for the object, from elliptical growth-curve, modeled in 2 dimensions [pixel]"
des_dr2.main,flux_radius_i,adql:REAL,pixel,"i-band half-light radius for the object, from elliptical growth-curve, modeled in 2 dimensions [pixel]"
des_dr2.main,flux_radius_r,adql:REAL,pixel,"r-band half-light radius for the object, from elliptical growth-curve, modeled in 2 dimensions [pixel]"
des_dr2.main,flux_radius_y,adql:REAL,pixel,"y-band half-light radius for the object, from elliptical growth-curve, modeled in 2 dimensions [pixel]"
des_dr2.main,flux_radius_z,adql:REAL,pixel,"z-band half-light radius for the object, from elliptical growth-curve, modeled in 2 dimensions [pixel]"
des_dr2.main,fwhm_image_g,adql:REAL,pixel,"g-band fwhm measured from the isophotal area, from elliptical growth-curve, modeled in 2 dimensions [pixel]"
des_dr2.main,fwhm_image_i,adql:REAL,pixel,"i-band fwhm measured from the isophotal area, from elliptical growth-curve, modeled in 2 dimensions [pixel]"
des_dr2.main,fwhm_image_r,adql:REAL,pixel,"r-band fwhm measured from the isophotal area, from elliptical growth-curve, modeled in 2 dimensions [pixel]"
des_dr2.main,fwhm_image_y,adql:REAL,pixel,"y-band fwhm measured from the isophotal area, from elliptical growth-curve, modeled in 2 dimensions [pixel]"
des_dr2.main,fwhm_image_z,adql:REAL,pixel,"z-band fwhm measured from the isophotal area, from elliptical growth-curve, modeled in 2 dimensions [pixel]"
des_dr2.main,galactic_b,adql:REAL,degrees,galactic latitude [degrees]
des_dr2.main,galactic_l,adql:REAL,degrees,galactic longitude [degrees]
des_dr2.main,hpix_1024,adql:BIGINT,,"healpix identifier for nside=1024 grid size, in a nested schema"
des_dr2.main,hpix_16384,adql:BIGINT,,"healpix identifier for nside=16384 grid size, in a nested schema"
des_dr2.main,hpix_32,adql:BIGINT,,"healpix identifier for nside=32 grid size, in a nested schema"
des_dr2.main,hpix_4096,adql:BIGINT,,"healpix identifier for nside=4096 grid size, in a nested schema"
des_dr2.main,hpix_64,adql:BIGINT,,"healpix identifier for nside=64 grid size, in a nested schema"
des_dr2.main,imaflags_iso_g,adql:INTEGER,,"g-band flag identifying sources with missing/flagged pixels, considering all single epoch images"
des_dr2.main,imaflags_iso_i,adql:INTEGER,,"i-band flag identifying sources with missing/flagged pixels, considering all single epoch images"
des_dr2.main,imaflags_iso_r,adql:INTEGER,,"r-band flag identifying sources with missing/flagged pixels, considering all single epoch images"
des_dr2.main,imaflags_iso_y,adql:INTEGER,,"y-band flag identifying sources with missing/flagged pixels, considering all single epoch images"
des_dr2.main,imaflags_iso_z,adql:INTEGER,,"z-band flag identifying sources with missing/flagged pixels, considering all single epoch images"
des_dr2.main,isoarea_image_g,adql:INTEGER,pixel2,g-band isophotal area of the coadded source [pixel2]
des_dr2.main,isoarea_image_i,adql:INTEGER,pixel2,i-band isophotal area of the coadded source [pixel2]
des_dr2.main,isoarea_image_r,adql:INTEGER,pixel2,r-band isophotal area of the coadded source [pixel2]
des_dr2.main,isoarea_image_y,adql:INTEGER,pixel2,y-band isophotal area of the coadded source [pixel2]
des_dr2.main,isoarea_image_z,adql:INTEGER,pixel2,z-band isophotal area of the coadded source [pixel2]
des_dr2.main,kron_radius,adql:REAL,pixel,kron radius measured from detection image [pixel]
des_dr2.main,kron_radius_g,adql:REAL,pixel,g-band kron radius measured from coadded image [pixel]
des_dr2.main,kron_radius_i,adql:REAL,pixel,i-band kron radius measured from coadded image [pixel]
des_dr2.main,kron_radius_r,adql:REAL,pixel,r-band kron radius measured from coadded image [pixel]
des_dr2.main,kron_radius_y,adql:REAL,pixel,y-band kron radius measured from coadded image [pixel]
des_dr2.main,kron_radius_z,adql:REAL,pixel,z-band kron radius measured from coadded image [pixel]
